company_name,idea_date,author,link,excerpt,code,price,market_cap
NOW INC,"MONDAY, OCT 18, 2021",Plainview,https://valueinvestorsclub.com/idea/NOW_INC/0710183475,"Over the medium term, the world needs more oil and gas production. A meaningful share of future oil and gas production growth will be driven by rigs operating in North ... Read more",NOW INC DNOW,9.20,"$1,017mn"
HALLIBURTON CO,"MONDAY, OCT 18, 2021",mip14,https://valueinvestorsclub.com/idea/HALLIBURTON_CO/5648552484,"We like HAL, and currently own it alongside VAL and OIH as a cheap way to play the recovery in oil prices and associated drilling activity. If you don’t have ... Read more",HALLIBURTON CO HAL,26.00,"$23,500mn"
OPPFI INC,"SUNDAY, OCT 17, 2021",milehigh,https://valueinvestorsclub.com/idea/OPPFI_INC/3028595784,"On the one hand, OPFI is a predatory subprime lender making 100%+ APY loans. On the other hand, OPFI provides credit to consumers that might not have any other good choices ... Read more",OPPFI INC OPFI,7.34,$620mn
Kraft Heinz,"SATURDAY, OCT 16, 2021",mip14,https://valueinvestorsclub.com/idea/Kraft_Heinz/0902706879,"6 years ago, bedrock nailed a short pitch on KRFT, which at the time had recently announced a merger with Heinz. The new company, KHC, traded for 16-18x fwd EBITDA ... Read more",Kraft Heinz KHC,36.98,"$45,250mn"
LGL GROUP INC,"SATURDAY, OCT 16, 2021",googie974,https://valueinvestorsclub.com/idea/LGL_GROUP_INC/1988126323,"LGL Group's board of directors chaired by Marc Gabelli, who with his father Mario owns about half of the company, has approved the spin off of their only operating company,  ... Read more",LGL GROUP INC LGL.WS,0.75,$5mn
Ujjivan Financial Services ltd,"SATURDAY, OCT 16, 2021",vfm343,https://valueinvestorsclub.com/idea/Ujjivan_Financial_Services_ltd/5372429448,"Ujjivan Financial Services (UFSL) is an event-driven investment opportunity with an upside of over 60% which can be expected to be realized over the next 1-2 years. In simplistic terms, ... Read more",Ujjivan Financial Services ltd UJJIVAN,162.00,$270mn
DUCK CREEK TECHNOL INC,"FRIDAY, OCT 15, 2021",unlatchmergers,https://valueinvestorsclub.com/idea/DUCK_CREEK_TECHNOL_INC/0613004004,"Not many people on VIC like high growth, limited earnings, or tech stocks, but maybe some will like a good company on sale a ~25% discount.  Hope folks find this one timely ... Read more",DUCK CREEK TECHNOL INC DCT,34.94,"$4,612mn"
Flow Token,"FRIDAY, OCT 15, 2021",Leo11,https://valueinvestorsclub.com/idea/Flow_Token/7617777112,"This is a trade and not an investment. The trade is in crypto world and will work out over this weekend. Probably not the most suitable case for VIC, but ... Read more",Flow Token FLOW,16.50,"$5,000mn"
STERLING CONSTRUCTION CO INC,"THURSDAY, OCT 14, 2021",rab,https://valueinvestorsclub.com/idea/STERLING_CONSTRUCTION_CO_INC/2049230125,Sterling Construction is a diversified construction company trading at similar valuation multiples relative to their history as investors have not recognized the company’s transformation over the past 4-5 years. While ... Read more,STERLING CONSTRUCTION CO INC STRL,23.15,$656mn
ARCHAEA ENERGY INC,"SATURDAY, SEP 25, 2021",cosecant95,https://valueinvestorsclub.com/idea/ARCHAEA_ENERGY_INC/0409931143,Thesis Summary Green energy play with massive demand tailwinds; economic returns on projects are hugely attractive even assuming a considerable haircut to current spot prices; compelling valuation on out-year numbers; potential ... Read more,ARCHAEA ENERGY INC LFG,19.93,"$2,468mn"
STEREOTAXIS INC,"SATURDAY, SEP 25, 2021",cosecant95,https://valueinvestorsclub.com/idea/STEREOTAXIS_INC/2054501152,Stereotaxis – STXS Summary Stereotaxis is a turnaround story that after a decade of decline is on the verge of 3 major inflection points in the next 12 months that could re-rate ... Read more,STEREOTAXIS INC STXS,5.76,$700mn
Zardoya Otis,"SATURDAY, SEP 25, 2021",coffee1029,https://valueinvestorsclub.com/idea/Zardoya_Otis/2137212301,"This is a merger arb opportunity.   On Sept 23, 2021, Otis Worldwide Corporation (“Otis”) announced a cash tender offer at €7 per share for the remaining 49.99% it does not ... Read more",Zardoya Otis ZOT,7.03,"$3,875mn"
CALIFORNIA RESOURCES CORP,"FRIDAY, SEP 24, 2021",Gator19,https://valueinvestorsclub.com/idea/CALIFORNIA_RESOURCES_CORP/2882817898,California Resources Corp. [CRC] California Resources is a value investor’s way to participate in the rapid energy transition to zero carbon. CRC is the largest oil producer in California but will ... Read more,CALIFORNIA RESOURCES CORP CRC,42.00,"$3,450mn"
AEROCENTURY CORP,"FRIDAY, SEP 24, 2021",bradfordst,https://valueinvestorsclub.com/idea/AEROCENTURY_CORP/0642458851,"AeroCentury is a former aircraft leasing company that owned regional jets and turboprops and leased them out to domestic and foreign based carriers. All together, the company owned 13 planes ... Read more",AEROCENTURY CORP ACY,60.00,$222mn
MEREDITH CORP,"FRIDAY, SEP 24, 2021",MYetman,https://valueinvestorsclub.com/idea/MEREDITH_CORP/5981279042,"Meredith I was planning to submit this next week when my annual contribution was back on. With the recent announcement about IAC potentially acquiring Meredith, I wanted to at least ... Read more",MEREDITH CORP MDP,43.00,"$1,987mn"
Kingsgate Consolidated Limited,"FRIDAY, SEP 24, 2021",Goober25,https://valueinvestorsclub.com/idea/Kingsgate_Consolidated_Limited/1863053703,1.        Summary We recommend investing in KCN at a current market price of $1.10 AUD with upside potential share price upside reaching >$4 AUD. The company currently ... Read more,Kingsgate Consolidated Limited ASX: KCN,1.10,$190mn
TRANSCONTINENTAL RLTY INVS,"FRIDAY, SEP 24, 2021",wolfowl,https://valueinvestorsclub.com/idea/TRANSCONTINENTAL_RLTY_INVS/3897382371,"With only $150k of daily volume and less than $40 mm of float, Transcontinental Realty Investors (TCI) is only suitable for PAs and small funds. On Sept 22, Brixton Capital and ... Read more",TRANSCONTINENTAL RLTY INVS TCI,40.00,$344mn
INTERNATIONAL MONEY EXPR INC,"THURSDAY, SEP 23, 2021",SlackTide,https://valueinvestorsclub.com/idea/INTERNATIONAL_MONEY_EXPR_INC/8157884306,"Elevator Pitch/Summary We believe Intermex is a compelling long as its valuation (8.5x FCF, 6.4x EBITDA) is pricing the company close to a ""cigar butt"" but is growing over 20%.  We ... Read more",INTERNATIONAL MONEY EXPR INC IMXI,16.10,$641mn
Semapa,"THURSDAY, SEP 23, 2021",pmgs24,https://valueinvestorsclub.com/idea/Semapa/8988083160,"Long recommendation: Semapa (Euronext Lisbon: SEM) SUMMARY. SEM has traded at a large discount to its sum of parts since 2018, implicitly valuing the equity of its cement and waste management ... Read more",Semapa SEM,12.00,"$1,121mn"
ACTIVISION BLIZZARD INC,"THURSDAY, SEP 23, 2021",cablebeach,https://valueinvestorsclub.com/idea/ACTIVISION_BLIZZARD_INC/3520531966,"Thesis: Long ATVI.  Activision (ATVI) shares are down -11% YTD and ~22% since the end of Q2, as the company has been impacted by sex harrassment & labor discrimination scandal (see Link for more background ... Read more",ACTIVISION BLIZZARD INC ATVI,75.00,"$58,000mn"
UnifiedPost Group,"THURSDAY, SEP 23, 2021",pmgs24,https://valueinvestorsclub.com/idea/UnifiedPost_Group/8210542013,"Long recommendation: UnifiedPost Group (Euronext Brussels: UPG) I recommend investing in UnifiedPost Group (ticker UPG, trading on the Euronext Brussels), a provider of electronic invoicing services. The company is executing an ... Read more",UnifiedPost Group UPG,18.50,$620mn
SIGNIFY HEALTH INC,"THURSDAY, SEP 23, 2021",Pantone542,https://valueinvestorsclub.com/idea/SIGNIFY_HEALTH_INC/7382234837,In recent months SPACs have cracked under the weight of extreme negative revisions and incinerated investor confidence. The group is indicative of the worst excesses of the equity capital markets ... Read more,SIGNIFY HEALTH INC SGFY,20.00,"$4,847mn"
Galaxy Entertainment Group,"WEDNESDAY, SEP 22, 2021",Forrest Gump,https://valueinvestorsclub.com/idea/Galaxy_Entertainment_Group/1515086454,Bored of losing money on Alibaba and Tencent and looking to add yet another bet on the rising Chinese middle class and the benevolence of the Chinese Communist Party? Look ... Read more,Galaxy Entertainment Group 27 HK,41.90,"$182,282mn"
PT MITRA PINASTHIKA MUSTIKA,"WEDNESDAY, SEP 22, 2021",happyhunting,https://valueinvestorsclub.com/idea/PT_MITRA_PINASTHIKA_MUSTIKA/2891614055,"Summary: At Rp760 Mitra Pinasthika Mustika (MPM) is a US$230MM market cap Indonesian consumer automotive company. It operates in three segments, 1) a dealer of Honda two-wheel bikes, 2) an ... Read more",PT MITRA PINASTHIKA MUSTIKA MPMX,760.00,$230mn
CAIRN ENERGY PLC (CRNCY),"WEDNESDAY, SEP 22, 2021",addtreat8,https://valueinvestorsclub.com/idea/CAIRN_ENERGY_PLC_CRNCY/3577488934,"Cairn Energy PLC (LSE: CNE LN): 174.6p, £920m market cap   EXECUTIVE SUMMARY   Cairn Energy, a $1.2 billion market cap Scottish Exploration & Production company, is an eighth inning special situation with the ... Read more",CAIRN ENERGY PLC (CRNCY) CNE LN,181.20,"$1,340mn"
OLLIE'S BARGAIN OUTLET HLDGS,"TUESDAY, SEP 21, 2021",SpocksBrainX,https://valueinvestorsclub.com/idea/OLLIES_BARGAIN_OUTLET_HLDGS/3163056304,"I'm a simple guy, and don't mind buying stocks that are likely to get hit on the way down.   OLLI is a simple story. In 2015, they had (ended) 203 stores ... Read more",OLLIE'S BARGAIN OUTLET HLDGS OLLI,64.37,"$4,237mn"
Thunderbird Entertainment Group,"MONDAY, SEP 20, 2021",Artz0423,https://valueinvestorsclub.com/idea/Thunderbird_Entertainment_Group/7705870778,"Thunderbird Entertainment is one of the more intriguing risk/reward situations I've come across in some time, and represents a high quality business with a strong competitive position, phenomenal management team ... Read more",Thunderbird Entertainment Group THBRF,3.35,$170mn
NEXSTAR MEDIA GROUP,"MONDAY, SEP 20, 2021",katana,https://valueinvestorsclub.com/idea/NEXSTAR_MEDIA_GROUP/0951396293,"Nexstar may be the greatest unloved, under-the-radar stock performer and business I have ever seen. (As distinguished from, say, POOL, which is under-the-radar but has long been high-multiple and well-loved ... Read more",NEXSTAR MEDIA GROUP NXST,145.00,"$6,345mn"
EXELA TECHNOLOGIES INC,"MONDAY, SEP 20, 2021",GoodHouse,https://valueinvestorsclub.com/idea/EXELA_TECHNOLOGIES_INC/8193730571,"Executive Summary Had planned to write up the bonds, now like the stock Good business, bad balance sheet Management “took a bath” with restated financial statements and exited lower-margin businesses earlier this year They ... Read more",EXELA TECHNOLOGIES INC XELA,1.87,$305mn
EOG RESOURCES INC,"MONDAY, SEP 20, 2021",angus309,https://valueinvestorsclub.com/idea/EOG_RESOURCES_INC/9972657228,"Company EOG Resources, explores for, develops, produces, and markets crude oil, natural gas liquids (NGLs) and natural gas primarily in major producing basins in the U.S., as well as Trinidad, China, ... Read more",EOG RESOURCES INC EOG,71.00,$42mn
UNITED MICROELECTRONICS CORP,"MONDAY, SEP 20, 2021",Nails4,https://valueinvestorsclub.com/idea/UNITED_MICROELECTRONICS_CORP/4544832961,"This is an exceedingly simple idea. I recommend a short of United Microelectronics (UMC).   UMC is the 2nd largest Taiwanese fab, playing (distant) second fiddle to TSMC. Over the years it's ... Read more",UNITED MICROELECTRONICS CORP UMC,11.40,"$29,400mn"
BABCOCK & WILCOX ENTERPRISES,"MONDAY, SEP 20, 2021",coalone,https://valueinvestorsclub.com/idea/BABCOCK_andamp%3B_WILCOX_ENTERPRISES/0447822051,"Executive Summary   Major corporate turnaround completed under new management team Company refocused on core business, restructured balance sheet, and growth opportunities Gaining momentum in market with TAM of $28B over next 3 years ESG-centric ... Read more",BABCOCK & WILCOX ENTERPRISES BW,6.10,$520mn
VIVINT SMART HOME INC,"SUNDAY, SEP 19, 2021",compass868,https://valueinvestorsclub.com/idea/VIVINT_SMART_HOME_INC/5908550167,"Summary Thesis Investors have historically hated the home monitoring market. ADT has been a popular short. Skeptics point to the lack of moat, fierce competition, high customer acquisition costs, and leverage ... Read more",VIVINT SMART HOME INC VVNT,11.29,"$2,365mn"
CINER RESOURCES LP,"FRIDAY, SEP 17, 2021",htm815,https://valueinvestorsclub.com/idea/CINER_RESOURCES_LP/7806205773,"(Note that in the valuation we include both the publicly traded and privately held shares) Ciner Resources LP (“CINR”, “Ciner”, or the “Company”) is a low cost producer of natural soda ... Read more",CINER RESOURCES LP CINR,13.24,$524mn
SEA LTD - ADR,"FRIDAY, SEP 17, 2021",zyos,https://valueinvestorsclub.com/idea/SEA_LTD_-_ADR/4410787228,"SEA is the combination of two businesses with very different competitive dynamics. With Garena, they are the undisputed gaming platform in ASEAN being one of the first major platforms in 2009. ... Read more",SEA LTD - ADR SE,341.00,"$189,000mn"
Corporacion America,"FRIDAY, SEP 17, 2021",perea,https://valueinvestorsclub.com/idea/Corporacion_America/9147588811,Corporación America (CAAP) has been written up nicely a couple times before but it is worth a revisit as there are few areas in the market today more out of ... Read more,Corporacion America CAAP,5.69,$910mn
ASBURY AUTOMOTIVE GROUP INC,"THURSDAY, SEP 16, 2021",Cupmachine314,https://valueinvestorsclub.com/idea/ASBURY_AUTOMOTIVE_GROUP_INC/2542697919,Asbury has been written up a few times on VIC and you can refer to those for more background on the company. Overall the business still has much more to ... Read more,ASBURY AUTOMOTIVE GROUP INC ABG,180.00,"$3,510mn"
SLM CORP,"THURSDAY, SEP 16, 2021",manatee,https://valueinvestorsclub.com/idea/SLM_CORP/6143542824,"Despite having more than doubled since a writeup last year (we owned it then too), SLM remains an extremely compelling investment at current levels.  Sallie Mae is a $5.5bn market cap ... Read more",SLM CORP SLMBP,18.00,"$5,500mn"
AMPCO-PITTSBURGH CORP,"THURSDAY, SEP 16, 2021",tvcdv,https://valueinvestorsclub.com/idea/AMPCO-PITTSBURGH_CORP/9145310417,Investment Thesis Overview Ampco-Pittsburgh represents a deep value investment idea in a microcap company that has run into more than its fair share of trouble in recent years in dealing with ... Read more,AMPCO-PITTSBURGH CORP AP,4.64,$89mn
EASTERN CO,"THURSDAY, SEP 16, 2021",VC2020,https://valueinvestorsclub.com/idea/EASTERN_CO/6371148764,"At a Market Cap of roughly $155 million, I think the Eastern Company (ticker: EML) presents a very compelling value in today’s market as one is able to purchase an ... Read more",EASTERN CO EML,24.98,$156mn
SIERRA WIRELESS INC,"WEDNESDAY, SEP 15, 2021",SlackTide,https://valueinvestorsclub.com/idea/SIERRA_WIRELESS_INC/7032037232,"Elevator Pitch We view SWIR as a collection of 3 synergistic businesses that, if you were to apply the multiples of their closest comps, would be worth ~$64 (+250%).  While we ... Read more",SIERRA WIRELESS INC SW.,14.95,$553mn
CUSTOMERS BANCORP INC,"WEDNESDAY, SEP 15, 2021",dennett44,https://valueinvestorsclub.com/idea/CUSTOMERS_BANCORP_INC/8688202461,I am recommending a long position in Customers Bancorp.  The bank currently trades for ~1x projected year end 2021 tangible book value per share and less than 10x 2021 core ... Read more,CUSTOMERS BANCORP INC CUBI,38.45,"$1,245mn"
PATRIA INVESTMENTS LTD,"WEDNESDAY, SEP 15, 2021",humkae848,https://valueinvestorsclub.com/idea/PATRIA_INVESTMENTS_LTD/1377709171,"Patria Investments Ltd (“PAX”) is an alternative asset manager operating in Latin America. The company has $16b in assets under management and capabilities spanning private equity, infrastructure, real estate, credit, ... Read more",PATRIA INVESTMENTS LTD PAX,16.85,"$2,294mn"
Melco Resorts & Entertainment,"WEDNESDAY, SEP 15, 2021",Dr1004,https://valueinvestorsclub.com/idea/Melco_Resorts_andamp%3B_Entertainment/3753759612,"Thesis   We expect MLCO’s earnings to exceed pre-Covid levels in 2023 and for the business to subsequently see steady growth (with cyclicality) from this point. In a year, this more normalized ... Read more",Melco Resorts & Entertainment MLCO:US,10.50,"$5,030mn"
LESLIE'S INC,"WEDNESDAY, SEP 15, 2021",beep899,https://valueinvestorsclub.com/idea/LESLIES_INC/6834301931,"Deep down you are no different than Clark Griswold. You want a pool. Indeed, with covid and its many variants and the breakdown of urban centers, there really is no ... Read more",LESLIE'S INC LESL,22.25,"$4,274mn"
CLEARWATER PAPER CORP,"TUESDAY, SEP 14, 2021",alcideholder,https://valueinvestorsclub.com/idea/CLEARWATER_PAPER_CORP/9988017565,This is the third time I have written about CLW for VIC. I have generally done well with the stock and every once in a while it sets up well because ... Read more,CLEARWATER PAPER CORP CLW,33.20,$551mn
GEOPARK LTD,"TUESDAY, SEP 14, 2021",DO EM GO,https://valueinvestorsclub.com/idea/GEOPARK_LTD/0854631568,This write up basically asks the following question: What is the appropriate discount for a Colombian E&P that has had an outstanding track record in finding and developing oil?   ... Read more,GEOPARK LTD GPRK,11.50,$720mn
VERANO HOLDINGS CORP,"TUESDAY, SEP 14, 2021",coalone,https://valueinvestorsclub.com/idea/VERANO_HOLDINGS_CORP/6975053884,Executive Summary/Investment Thesis Best of breed Highest margins and profitable since inception Recently public but one of top 5 players in US Stock down more than peers despite cheapest valuation and best-in-class assets Strong management ... Read more,VERANO HOLDINGS CORP VRNOF,11.29,"$3,545mn"
RPG Life Sciences,"TUESDAY, SEP 14, 2021",zamperini,https://valueinvestorsclub.com/idea/RPG_Life_Sciences/5095072390,"RPG Life Sciences is a leading Indian generics company housed under the RPG Group, a family-run conglomerate with over 200 years of legacy across several verticals including industrials, software, and ... Read more",RPG Life Sciences RPGLIFE,8.12,$138mn
TRITON INTERNATIONAL LTD,"TUESDAY, SEP 14, 2021",lars,https://valueinvestorsclub.com/idea/TRITON_INTERNATIONAL_LTD/4087628978,"Triton (TRTN) is the leading intermodal container leasing company, with approximately 30% global market share.  The company’s shares are currently trading at 6x 2Q’s run-rate earnings, a multiple that I ... Read more",TRITON INTERNATIONAL LTD TRTN,51.87,"$3,491mn"
SUPERIOR GOLD INC,"MONDAY, SEP 13, 2021",Hanseatc,https://valueinvestorsclub.com/idea/SUPERIOR_GOLD_INC/9359103736,"Superior Gold is a small cap gold miner in Western Australia, that owns 100% of the Plutonic gold mine.  Currently, i.e. at C$ 0.54 the company has a market cap ... Read more",SUPERIOR GOLD INC SGI.,0.54,$52mn
LKQ CORP,"MONDAY, SEP 13, 2021",Siren81,https://valueinvestorsclub.com/idea/LKQ_CORP/1533225291,"LKQ is a compelling long because: ·        LKQ is a high-quality, underlevered and growing business with low cyclicality trading at 12.5x next year’s cash flow ·        ... Read more",LKQ CORP LKQ,51.00,"$15,045mn"
Calavo Growers Inc,"MONDAY, SEP 13, 2021",althea,https://valueinvestorsclub.com/idea/Calavo_Growers_Inc/6059301967,"SHORT: CALAVO GROWERS INC (CVGW) We believe avocado middleman Calavo Growers (CVGW) represents a near-term, highly asymmetric short, with significant equity impairment or even bankruptcy plausible outcomes. Core to the current ... Read more",Calavo Growers Inc CVGW,38.98,$689mn
CHESAPEAKE ENERGY CORP,"MONDAY, SEP 13, 2021",phn19,https://valueinvestorsclub.com/idea/CHESAPEAKE_ENERGY_CORP/9162581886,"Summary CHK equity is attractive—trades at a 1-1.5x discount to other public gas operators despite having a better acreage position, more inventory, and generally better drilling than the comps. It also ... Read more",CHESAPEAKE ENERGY CORP CHKEL,27.78,"$8,100mn"
ENSTAR GROUP LTD,"SUNDAY, SEP 12, 2021",Supernova,https://valueinvestorsclub.com/idea/ENSTAR_GROUP_LTD/7984247723,"ELEVATOR PITCH Enstar acquires and manages insurance policies in run-off.  Along with Berkshire, it dominates this unique niche.  Enstar’s primary objective is to grow book value per share which has compounded ... Read more",ENSTAR GROUP LTD ESGRO,233.85,"$4,869mn"
FIGS INC,"SUNDAY, SEP 12, 2021",WT2005,https://valueinvestorsclub.com/idea/FIGS_INC/0082416890,Summary FIGS Inc (FIGS) is May IPO of largest DTC platform in healthcare apparel - 82% core scrubs - disrupting commoditized $12B US and $79B global medical apparel market ($86B in 2025) per S-1 ... Read more,FIGS INC FIGS,44.00,"$9,000mn"
LOVESAC CO (THE),"SUNDAY, SEP 12, 2021",WT2005,https://valueinvestorsclub.com/idea/LOVESAC_CO_THE/2558150046,Summary Lovesac (LOVE) is narrow 2-product furniture company (primarily modular Sactionals) where pandemic tailwinds have driven impressive topline acceleration and a profitability inflection that have dampened historical skepticism around business model ... Read more,LOVESAC CO (THE) LOVE,67.00,"$1,100mn"
FAR PEAK ACQUISITION CORP,"SATURDAY, SEP 11, 2021",phn19,https://valueinvestorsclub.com/idea/FAR_PEAK_ACQUISITION_CORP/7273154928,"Investment Overview: This is a pairs trade idea between FPAC and MSTR, as both companies own crypto assets (predominantly bitcoin), but MSTR trades at a significant premium to NAV / the ... Read more",FAR PEAK ACQUISITION CORP FPAC,10.00,"$10,706mn"
AIRTASKER LTD,"FRIDAY, SEP 10, 2021",Jumpman23,https://valueinvestorsclub.com/idea/AIRTASKER_LTD/3333771583,"Last year, Alta Fox Capital put out an excellent presentation titled ‘The Makings of a Multibagger’ (link at end of write up). The study looked at companies that achieved greater ... Read more",AIRTASKER LTD ART,0.95,$287mn
BIODELIVERY SCIENCES INTL,"FRIDAY, SEP 10, 2021",4maps,https://valueinvestorsclub.com/idea/BIODELIVERY_SCIENCES_INTL/0626635267,Special Situation: BioDelivery Sciences International - BDSI BDSI was a drug development company that has turned into a commercial pharma company and was just proving its profitability when COVID hit. BDSI ... Read more,BIODELIVERY SCIENCES INTL BDSI,4.19,$412mn
Posabit Systems,"THURSDAY, SEP 9, 2021",puppyeh,https://valueinvestorsclub.com/idea/Posabit_Systems/7009258376,"Introduction POSaBIT Systems Corporation (CSE: PBIT; and OTC: POSAF), a leading technology company delivering payment processing (debit/credit/crypto solution) and point-of-sale (POS) systems for the cannabis industry, probably shouldn’t be a public ... Read more",Posabit Systems PBIT,1.15,$137mn
Societe BIC SA,"THURSDAY, SEP 9, 2021",Light62,https://valueinvestorsclub.com/idea/Societe_BIC_SA/0768532797,BIC has been written up once before on VIC - as a short in 2019.  That write-up was well timed and predicted the slowdown in earnings/CF which subsequently occured as ... Read more,Societe BIC SA BB,55.50,"$2,520mn"
SPROTT PHYSICAL URNM TRS FD,"THURSDAY, SEP 9, 2021",azia1621,https://valueinvestorsclub.com/idea/SPROTT_PHYSICAL_URNM_TRS_FD/4610478542,Macro and event-driven winds have converged to create a potential coiled spring in an asset that value investors have been trying to arouse out of its slumber for years. It’s finally ... Read more,SPROTT PHYSICAL URNM TRS FD U.UN,14.00,"$1,376mn"
GOODYEAR TIRE & RUBBER CO,"THURSDAY, SEP 9, 2021",Motherlode,https://valueinvestorsclub.com/idea/GOODYEAR_TIRE_andamp%3B_RUBBER_CO/9559281790,"GT is viewed as a broken company.  It is NOT.  Even if you assume the market applies a punitive valuation, GT appears poised to rally 45-65% once 22 estimates have ... Read more",GOODYEAR TIRE & RUBBER CO GT,15.63,"$4,393mn"
Ocado Group,"THURSDAY, SEP 9, 2021",Dr1004,https://valueinvestorsclub.com/idea/Ocado_Group_/5610993098,"Thesis Ocado is the global technology leader in groceries, providing a complete end-to-end solution that allows their food retail partners to grow a profitable online business. Ocado’s technology for large, out-of-town ... Read more",Ocado Group OCDO:LN,19.11,"$14,333mn"
COMSTOCK RESOURCES INC,"THURSDAY, SEP 9, 2021",beep899,https://valueinvestorsclub.com/idea/COMSTOCK_RESOURCES_INC/4565119373,"Comstock Resources (CRK) is a natural gas E&P operating primarily in the Haynesville shale in North Louisiana and East Texas and, per management, is the largest producer of natural gas ... Read more",COMSTOCK RESOURCES INC CRK,7.65,"$2,075mn"
GLOBAL-E ONLINE LTD,"THURSDAY, SEP 9, 2021",Mpp01,https://valueinvestorsclub.com/idea/GLOBAL-E_ONLINE_LTD/2337071094,Introduction:   Global-E Online Ltd. (“GLBE” or the “Company”) is a middleman for e-commerce brands (or “merchants”) who sell their wares internationally. It is a low margin and opaque business that has ... Read more,GLOBAL-E ONLINE LTD GLBE,68.69,"$10,004mn"
SBS Transit,"THURSDAY, SEP 9, 2021",queegs,https://valueinvestorsclub.com/idea/SBS_Transit/3829121659,"SBS Transit (SBVV.SI) is a leading public transportation service provider in Singapore, whose prospects have been obscured by a combination of the Covid pandemic and gradual uptake of its latest ... Read more",SBS Transit SBVV.SI,3.00,$700mn
