company_name,idea_date,author,link,excerpt,code,price,market_cap
EVERTEC INC,"SUNDAY, FEB 16, 2014",latticework,https://valueinvestorsclub.com/idea/EVERTEC_INC/9547713368,"Thesis:  EVERTEC, Inc. (“EVTC” or the “Company”) is a compounding-value company in a transformational market niche.  This transaction processing company has significant scale and growth avenues in a stable industry, ... Read more",EVERTEC INC EVTC,23.80,"$1,863mn"
FTD COMPANIES INC,"SATURDAY, FEB 15, 2014",baileyb906,https://valueinvestorsclub.com/idea/FTD_COMPANIES_INC/7695194928,"FTD spun out of United Online (UNTD) in November 2013 and will soon report their first quarter as a public company since 2004.  FTD was founded in 1910, owned by ... Read more",FTD COMPANIES INC FTD,30.81,$573mn
BARNES & NOBLE INC,"SATURDAY, FEB 15, 2014",MJS27,https://valueinvestorsclub.com/idea/BARNES_and_NOBLE_INC/4796538506,"LONG BKS After trying and failing to restart the dialogue on the old BKS thread, I thought I would start a new one given recent developments and how the story has ... Read more",BARNES & NOBLE INC BKS,16.25,$973mn
ENGILITY HOLDINGS INC,"FRIDAY, FEB 14, 2014",Kvothe,https://valueinvestorsclub.com/idea/ENGILITY_HOLDINGS_INC/5408217064,Engility Holdings (EGL) is an under-followed government services contractor at an inflection point following its July 2012 spin-out from L-3 Communications (LLL). I recommend buying EGL and estimate that it ... Read more,ENGILITY HOLDINGS INC EGL,40.65,$722mn
PROSAFE SE,"FRIDAY, FEB 14, 2014",zeke375,https://valueinvestorsclub.com/idea/PROSAFE_SE/8258763910,I think Prosafe in an interesting contrarian investment candidate at the moment due to the following qualities: It is the leading player in a niche industry with roughly 50% market share The ... Read more,PROSAFE SE PRSEY,6.90,"$1,630mn"
STO AG,"FRIDAY, FEB 14, 2014",varna10,https://valueinvestorsclub.com/idea/STO_AG/0230364349,"Energy conservation is a “hot” topic fervently debated by pundits around the world. There are plenty of strong arguments presented by all of the affected parties, including the energy consumers, ... Read more",STO AG STO3 GY,140.00,$960mn
ANCHOR BANCORP/WA,"THURSDAY, FEB 13, 2014",broncos727,https://valueinvestorsclub.com/idea/ANCHOR_BANCORPWA/8797156076,"This is a tough week to submit an idea!  EBML is touting an 8 dollar stock with the potential to earn $40 in eps, with a patented product that can ... Read more",ANCHOR BANCORP/WA ANCB,18.25,$45mn
DELHAIZE GROUP - ETS DLHZ FR,"THURSDAY, FEB 13, 2014",andreas947,https://valueinvestorsclub.com/idea/DELHAIZE_GROUP_-_ETS_DLHZ_FR/7746316011,Delhaize Group (DEG or DELB.BR)     Summary   Our fund generally focuses on smaller companies with Ft. Knox balance sheets and large & sustainable free cash flow yields.  We are often seeking a ... Read more,DELHAIZE GROUP - ETS DLHZ FR DEG,50.00,"$5,050mn"
HARVARD BIOSCIENCE INC,"THURSDAY, FEB 13, 2014",nilnevik,https://valueinvestorsclub.com/idea/HARVARD_BIOSCIENCE_INC/9017365962,Zeke just wrote up HBIO recently and we believe we can further embellish on the familiar thesis - we've been working on this idea for a while and wanted to ... Read more,HARVARD BIOSCIENCE INC HBIO,4.25,$134mn
EVERTEC INC,"SUNDAY, FEB 16, 2014",latticework,https://valueinvestorsclub.com/idea/EVERTEC_INC/9547713368,"Thesis:  EVERTEC, Inc. (“EVTC” or the “Company”) is a compounding-value company in a transformational market niche.  This transaction processing company has significant scale and growth avenues in a stable industry, ... Read more",EVERTEC INC EVTC,23.80,"$1,863mn"
FTD COMPANIES INC,"SATURDAY, FEB 15, 2014",baileyb906,https://valueinvestorsclub.com/idea/FTD_COMPANIES_INC/7695194928,"FTD spun out of United Online (UNTD) in November 2013 and will soon report their first quarter as a public company since 2004.  FTD was founded in 1910, owned by ... Read more",FTD COMPANIES INC FTD,30.81,$573mn
BARNES & NOBLE INC,"SATURDAY, FEB 15, 2014",MJS27,https://valueinvestorsclub.com/idea/BARNES_and_NOBLE_INC/4796538506,"LONG BKS After trying and failing to restart the dialogue on the old BKS thread, I thought I would start a new one given recent developments and how the story has ... Read more",BARNES & NOBLE INC BKS,16.25,$973mn
ENGILITY HOLDINGS INC,"FRIDAY, FEB 14, 2014",Kvothe,https://valueinvestorsclub.com/idea/ENGILITY_HOLDINGS_INC/5408217064,Engility Holdings (EGL) is an under-followed government services contractor at an inflection point following its July 2012 spin-out from L-3 Communications (LLL). I recommend buying EGL and estimate that it ... Read more,ENGILITY HOLDINGS INC EGL,40.65,$722mn
PROSAFE SE,"FRIDAY, FEB 14, 2014",zeke375,https://valueinvestorsclub.com/idea/PROSAFE_SE/8258763910,I think Prosafe in an interesting contrarian investment candidate at the moment due to the following qualities: It is the leading player in a niche industry with roughly 50% market share The ... Read more,PROSAFE SE PRSEY,6.90,"$1,630mn"
STO AG,"FRIDAY, FEB 14, 2014",varna10,https://valueinvestorsclub.com/idea/STO_AG/0230364349,"Energy conservation is a “hot” topic fervently debated by pundits around the world. There are plenty of strong arguments presented by all of the affected parties, including the energy consumers, ... Read more",STO AG STO3 GY,140.00,$960mn
ANCHOR BANCORP/WA,"THURSDAY, FEB 13, 2014",broncos727,https://valueinvestorsclub.com/idea/ANCHOR_BANCORPWA/8797156076,"This is a tough week to submit an idea!  EBML is touting an 8 dollar stock with the potential to earn $40 in eps, with a patented product that can ... Read more",ANCHOR BANCORP/WA ANCB,18.25,$45mn
FAIRPOINT COMMUNICATIONS INC,"THURSDAY, FEB 13, 2014",jdr907,https://valueinvestorsclub.com/idea/FAIRPOINT_COMMUNICATIONS_INC/9694719842,"Fairpoint Communications, was written up in October, 2012 by dionis589.  Much of what he had forecasted to move the stock, has played out.  However, there are several catalyts ahead, which ... Read more",FAIRPOINT COMMUNICATIONS INC FRP,13.30,$352mn
GLOBUS MARITIME LTD,"THURSDAY, FEB 13, 2014",beep899,https://valueinvestorsclub.com/idea/GLOBUS_MARITIME_LTD/1305472497,"Summary GLBS trades at 60% of liquidation value of $5.80/share vs. peers at 100-120% of liquidation value. After 6 painful years, the dryshipping industry is seeing demand growth exceed supply growth ... Read more",GLOBUS MARITIME LTD GLBS,3.30,$34mn
REGIS CORP/MN,"WEDNESDAY, FEB 12, 2014",thrive25,https://valueinvestorsclub.com/idea/REGIS_CORPMN/6141471354,"Regis Corp has been written up twice on VIC during the last 4 years.   I’ve been following the stock on the sidelines for a while now, and decided to start ... Read more",REGIS CORP/MN RGS,13.27,$752mn
SENOMYX INC,"WEDNESDAY, FEB 12, 2014",EBML,https://valueinvestorsclub.com/idea/SENOMYX_INC/6246666521,"For brevity’s sake this write-up will hit on the highlights of the story and is meant to be self-sufficient.  For those that want a more robust understanding, a longer version ... Read more",SENOMYX INC SNMX,8.10,$332mn
GRAPHIC PACKAGING HOLDING CO,"TUESDAY, FEB 11, 2014",quads1025,https://valueinvestorsclub.com/idea/GRAPHIC_PACKAGING_HOLDING_CO/8227919046,"PLEASE NOTE: This is an immediately actionable investment idea given that after the close today Graphic Packaging announced a $300 million secondary offering of stock to be priced tomorrow, February ... Read more",GRAPHIC PACKAGING HOLDING CO GPK,10.22,"$3,318mn"
GP Investments,"TUESDAY, FEB 11, 2014",skw240,https://valueinvestorsclub.com/idea/GP_Investments/3159164258,"Note: All currency converted to US Dollars I am recommending a long in GP Investments, one of Latin America’s largest and oldest private equity firms. The current price provides an opportunity ... Read more",GP Investments BOVESPA:GPIV33,4.35,$290mn
PPG INDUSTRIES INC,"MONDAY, FEB 10, 2014",quads1025,https://valueinvestorsclub.com/idea/PPG_INDUSTRIES_INC/5659582411,"SUMMARY PPG Industries, Inc. (“PPG”) is an attractive, event-driven long opportunity.  Over the past few years, PPG has been embarking on a corporate restructuring, steadily becoming more of a “pure play” ... Read more",PPG INDUSTRIES INC PPG,182.54,"$25,920mn"
Harvard Bioscience,"MONDAY, FEB 10, 2014",zeke375,https://valueinvestorsclub.com/idea/Harvard_Bioscience/3056625183,"Harvard Bioscience is a life science research tools business that provides “picks and shovels” to the scientific research community worldwide.  The company began at Harvard Medical School in 1901, hence ... Read more",Harvard Bioscience HBIO,4.30,$132mn
Currency Exchange International,"MONDAY, FEB 10, 2014",MSLM28,https://valueinvestorsclub.com/idea/Currency_Exchange_International/8287436481,"Please see  the  below link for the full write up with the pretty charts.   https://www.dropbox.com/s/rq270103i83axg7/Currency%20Exchange%20Intl%20-%20VIC.pdf   *TEV above deducts only $5MM of cash, actual cash per the latest financials:$34MM. Executive Summary Operating in a niche ... Read more",Currency Exchange International CXI,12.10,$63mn
DORMAN PRODUCTS INC,"SATURDAY, FEB 8, 2014",runner,https://valueinvestorsclub.com/idea/DORMAN_PRODUCTS_INC/3449972104,Business Description Dorman Products (DORM) is a supplier of aftermarket auto replacement parts. It is the dominant supplier of “formerly dealer exclusive” parts. These are parts which were traditionally available to ... Read more,DORMAN PRODUCTS INC DORM,50.40,"$1,830mn"
FAIRPOINT COMMUNICATIONS INC,"SATURDAY, FEB 8, 2014",jdr907,https://valueinvestorsclub.com/idea/FAIRPOINT_COMMUNICATIONS_INC/9694719842,"Fairpoint Communications, was written up in October, 2012 by dionis589.  Much of what he had forecasted to move the stock, has played out.  However, there are several catalyts ahead, which ... Read more",FAIRPOINT COMMUNICATIONS INC FRP,13.30,$352mn
GLOBUS MARITIME LTD,"SATURDAY, FEB 8, 2014",beep899,https://valueinvestorsclub.com/idea/GLOBUS_MARITIME_LTD/1305472497,"Summary GLBS trades at 60% of liquidation value of $5.80/share vs. peers at 100-120% of liquidation value. After 6 painful years, the dryshipping industry is seeing demand growth exceed supply growth ... Read more",GLOBUS MARITIME LTD GLBS,3.30,$34mn
REGIS CORP/MN,"WEDNESDAY, FEB 12, 2014",thrive25,https://valueinvestorsclub.com/idea/REGIS_CORPMN/6141471354,"Regis Corp has been written up twice on VIC during the last 4 years.   I’ve been following the stock on the sidelines for a while now, and decided to start ... Read more",REGIS CORP/MN RGS,13.27,$752mn
SENOMYX INC,"WEDNESDAY, FEB 12, 2014",EBML,https://valueinvestorsclub.com/idea/SENOMYX_INC/6246666521,"For brevity’s sake this write-up will hit on the highlights of the story and is meant to be self-sufficient.  For those that want a more robust understanding, a longer version ... Read more",SENOMYX INC SNMX,8.10,$332mn
GRAPHIC PACKAGING HOLDING CO,"TUESDAY, FEB 11, 2014",quads1025,https://valueinvestorsclub.com/idea/GRAPHIC_PACKAGING_HOLDING_CO/8227919046,"PLEASE NOTE: This is an immediately actionable investment idea given that after the close today Graphic Packaging announced a $300 million secondary offering of stock to be priced tomorrow, February ... Read more",GRAPHIC PACKAGING HOLDING CO GPK,10.22,"$3,318mn"
GP Investments,"TUESDAY, FEB 11, 2014",skw240,https://valueinvestorsclub.com/idea/GP_Investments/3159164258,"Note: All currency converted to US Dollars I am recommending a long in GP Investments, one of Latin America’s largest and oldest private equity firms. The current price provides an opportunity ... Read more",GP Investments BOVESPA:GPIV33,4.35,$290mn
PPG INDUSTRIES INC,"MONDAY, FEB 10, 2014",quads1025,https://valueinvestorsclub.com/idea/PPG_INDUSTRIES_INC/5659582411,"SUMMARY PPG Industries, Inc. (“PPG”) is an attractive, event-driven long opportunity.  Over the past few years, PPG has been embarking on a corporate restructuring, steadily becoming more of a “pure play” ... Read more",PPG INDUSTRIES INC PPG,182.54,"$25,920mn"
Harvard Bioscience,"MONDAY, FEB 10, 2014",zeke375,https://valueinvestorsclub.com/idea/Harvard_Bioscience/3056625183,"Harvard Bioscience is a life science research tools business that provides “picks and shovels” to the scientific research community worldwide.  The company began at Harvard Medical School in 1901, hence ... Read more",Harvard Bioscience HBIO,4.30,$132mn
Currency Exchange International,"MONDAY, FEB 10, 2014",MSLM28,https://valueinvestorsclub.com/idea/Currency_Exchange_International/8287436481,"Please see  the  below link for the full write up with the pretty charts.   https://www.dropbox.com/s/rq270103i83axg7/Currency%20Exchange%20Intl%20-%20VIC.pdf   *TEV above deducts only $5MM of cash, actual cash per the latest financials:$34MM. Executive Summary Operating in a niche ... Read more",Currency Exchange International CXI,12.10,$63mn
DORMAN PRODUCTS INC,"SATURDAY, FEB 8, 2014",runner,https://valueinvestorsclub.com/idea/DORMAN_PRODUCTS_INC/3449972104,Business Description Dorman Products (DORM) is a supplier of aftermarket auto replacement parts. It is the dominant supplier of “formerly dealer exclusive” parts. These are parts which were traditionally available to ... Read more,DORMAN PRODUCTS INC DORM,50.40,"$1,830mn"
RITCHIE BROS AUCTIONEERS INC,"SATURDAY, FEB 8, 2014",runner,https://valueinvestorsclub.com/idea/RITCHIE_BROS_AUCTIONEERS_INC/7427529287,"Note: 1. This was my application for membership dated 01/14/2014. The stock has fallen a little since then 2. In case the table columns below look skewed, a pdf copy can ... Read more",RITCHIE BROS AUCTIONEERS INC RBA.,22.65,"$2,420mn"
KRATON PERFORMANCE POLYMERS,"SATURDAY, FEB 8, 2014",kwee12,https://valueinvestorsclub.com/idea/KRATON_PERFORMANCE_POLYMERS/6432247685,"Summary: Kraton is an underfollowed specialty chemicals company in the midst of closing a transformative M&A deal, which is expected to result in $4 of FCF per share, implying a PF ... Read more",KRATON PERFORMANCE POLYMERS KRA,25.65,$834mn
ISHARES RUSSELL 2000 ETF,"FRIDAY, FEB 7, 2014",tim321,https://valueinvestorsclub.com/idea/ISHARES_RUSSELL_2000_ETF/3823636677,"“We looked back over several decades of valuations and covered 3,000 largest companies in the U.S. For Russell 1000, stock number 1 to 1000, right now we’re in about the ... Read more",ISHARES RUSSELL 2000 ETF IWM,110.77,$100mn
Aggreko,"FRIDAY, FEB 7, 2014",rhg,https://valueinvestorsclub.com/idea/Aggreko/4652920968,Summary Aggreko (LON:AGK) is the world’s largest provider of temporary power solutions. Aggreko has gone from a no-moat and a mediocre low returns on capital business (10% to 12%) in 2003 ... Read more,Aggreko AGK,15.27,"$4,077mn"
BRINKS CO,"FRIDAY, FEB 7, 2014",conway968,https://valueinvestorsclub.com/idea/BRINKS_CO/4247926128,"Background Brinks was established in 1859 and has had transportation, timber and resources, security monitoring, and armored car/security businesses. Most of the resource assets were sold in 2002, its transportation business (BAX) ... Read more",BRINKS CO BCO,31.00,"$1,497mn"
MONTAGE TECHNOLOGY GROUP LTD,"THURSDAY, FEB 6, 2014",virus,https://valueinvestorsclub.com/idea/MONTAGE_TECHNOLOGY_GROUP_LTD/7376338977,Full report can be downloaded at www.gravityresearchgroup.com/reports Montage Technology Group Ltd. (“MONT”) is a Chinese fabless semiconductor company focused on the set-top box chip market.  We believe that Montage Technology Group Ltd. ... Read more,MONTAGE TECHNOLOGY GROUP LTD MONT,21.00,$600mn
ARCTIC GLACIER INCOME FUND,"THURSDAY, FEB 6, 2014",JetsFan,https://valueinvestorsclub.com/idea/ARCTIC_GLACIER_INCOME_FUND/3321607643,Workout liquidation play with 20%-30% upside and cash distributions to be paid out to unitholders this year.  The units currently trade at $0.1945 for a market cap of $68.7mm. I ... Read more,ARCTIC GLACIER INCOME FUND AGUNF,0.19,$69mn
BOYD GAMING CORP,"TUESDAY, FEB 4, 2014",Fletch,https://valueinvestorsclub.com/idea/BOYD_GAMING_CORP/9830523359,"Company Description   Boyd Gaming owns and operates 6 Las Vegas Local Casinos, 3 Casinos in Downtown Las Vegas, 12 Casinos throughout the Midwest and is a 50% owner of the Borgata ... Read more",BOYD GAMING CORP BYD,10.00,"$1,084mn"
PICO HOLDINGS INC,"TUESDAY, FEB 4, 2014",dman976,https://valueinvestorsclub.com/idea/PICO_HOLDINGS_INC/2330321377,"Pico Holdings has been written up a few times in the past.  It’s an under-followed company that screens poorly due to a lack of (until recently) steady revenues, and lumpy ... Read more",PICO HOLDINGS INC PICO,23.55,$535mn
MRC GLOBAL INC,"TUESDAY, FEB 4, 2014",BTudela16,https://valueinvestorsclub.com/idea/MRC_GLOBAL_INC/9728417798,"MRC Global (MRC): Long   “During the Gold Rush, most would-be miners lost money, but people who sold them picks, shovels, tents and blue-jeans made a nice profit”   - Peter Lynch   Summary: MRC is ... Read more",MRC GLOBAL INC MRC,27.26,"$2,774mn"
RITCHIE BROS AUCTIONEERS INC,"TUESDAY, FEB 4, 2014",runner,https://valueinvestorsclub.com/idea/RITCHIE_BROS_AUCTIONEERS_INC/7427529287,"Note: 1. This was my application for membership dated 01/14/2014. The stock has fallen a little since then 2. In case the table columns below look skewed, a pdf copy can ... Read more",RITCHIE BROS AUCTIONEERS INC RBA.,22.65,"$2,420mn"
KRATON PERFORMANCE POLYMERS,"TUESDAY, FEB 4, 2014",kwee12,https://valueinvestorsclub.com/idea/KRATON_PERFORMANCE_POLYMERS/6432247685,"Summary: Kraton is an underfollowed specialty chemicals company in the midst of closing a transformative M&A deal, which is expected to result in $4 of FCF per share, implying a PF ... Read more",KRATON PERFORMANCE POLYMERS KRA,25.65,$834mn
ISHARES RUSSELL 2000 ETF,"FRIDAY, FEB 7, 2014",tim321,https://valueinvestorsclub.com/idea/ISHARES_RUSSELL_2000_ETF/3823636677,"“We looked back over several decades of valuations and covered 3,000 largest companies in the U.S. For Russell 1000, stock number 1 to 1000, right now we’re in about the ... Read more",ISHARES RUSSELL 2000 ETF IWM,110.77,$100mn
Aggreko,"FRIDAY, FEB 7, 2014",rhg,https://valueinvestorsclub.com/idea/Aggreko/4652920968,Summary Aggreko (LON:AGK) is the world’s largest provider of temporary power solutions. Aggreko has gone from a no-moat and a mediocre low returns on capital business (10% to 12%) in 2003 ... Read more,Aggreko AGK,15.27,"$4,077mn"
BRINKS CO,"FRIDAY, FEB 7, 2014",conway968,https://valueinvestorsclub.com/idea/BRINKS_CO/4247926128,"Background Brinks was established in 1859 and has had transportation, timber and resources, security monitoring, and armored car/security businesses. Most of the resource assets were sold in 2002, its transportation business (BAX) ... Read more",BRINKS CO BCO,31.00,"$1,497mn"
MONTAGE TECHNOLOGY GROUP LTD,"THURSDAY, FEB 6, 2014",virus,https://valueinvestorsclub.com/idea/MONTAGE_TECHNOLOGY_GROUP_LTD/7376338977,Full report can be downloaded at www.gravityresearchgroup.com/reports Montage Technology Group Ltd. (“MONT”) is a Chinese fabless semiconductor company focused on the set-top box chip market.  We believe that Montage Technology Group Ltd. ... Read more,MONTAGE TECHNOLOGY GROUP LTD MONT,21.00,$600mn
ARCTIC GLACIER INCOME FUND,"THURSDAY, FEB 6, 2014",JetsFan,https://valueinvestorsclub.com/idea/ARCTIC_GLACIER_INCOME_FUND/3321607643,Workout liquidation play with 20%-30% upside and cash distributions to be paid out to unitholders this year.  The units currently trade at $0.1945 for a market cap of $68.7mm. I ... Read more,ARCTIC GLACIER INCOME FUND AGUNF,0.19,$69mn
BOYD GAMING CORP,"TUESDAY, FEB 4, 2014",Fletch,https://valueinvestorsclub.com/idea/BOYD_GAMING_CORP/9830523359,"Company Description   Boyd Gaming owns and operates 6 Las Vegas Local Casinos, 3 Casinos in Downtown Las Vegas, 12 Casinos throughout the Midwest and is a 50% owner of the Borgata ... Read more",BOYD GAMING CORP BYD,10.00,"$1,084mn"
PICO HOLDINGS INC,"TUESDAY, FEB 4, 2014",dman976,https://valueinvestorsclub.com/idea/PICO_HOLDINGS_INC/2330321377,"Pico Holdings has been written up a few times in the past.  It’s an under-followed company that screens poorly due to a lack of (until recently) steady revenues, and lumpy ... Read more",PICO HOLDINGS INC PICO,23.55,$535mn
MRC GLOBAL INC,"TUESDAY, FEB 4, 2014",BTudela16,https://valueinvestorsclub.com/idea/MRC_GLOBAL_INC/9728417798,"MRC Global (MRC): Long   “During the Gold Rush, most would-be miners lost money, but people who sold them picks, shovels, tents and blue-jeans made a nice profit”   - Peter Lynch   Summary: MRC is ... Read more",MRC GLOBAL INC MRC,27.26,"$2,774mn"
MARTINREA INTL INC,"TUESDAY, FEB 4, 2014",ElmSt14,https://valueinvestorsclub.com/idea/MARTINREA_INTL_INC/3935909417,"Martinrea International (MRE CN) is a Canadian automotive parts manufacturer that has become significantly mispriced as the result of litigation from a rogue ex-shareholder and director of the company. However, ... Read more",MARTINREA INTL INC MRE CN,9.02,$761mn
TRIBUNE CO,"SUNDAY, FEB 2, 2014",DaytonCapital,https://valueinvestorsclub.com/idea/TRIBUNE_CO/0713912342,Ticker – TRBAA Price – $74.50 Market Cap – $7.8bn Net Debt – $3.3bn Enterprise Value –  $11.1bn Shares Outstanding – 105 million   Recommendation: Long TRBAA   Price Target: $100/share (Base Case)   Why does the Opportunity Exist? – Following ... Read more,TRIBUNE CO TRBAA,74.50,"$7,800mn"
HASBRO INC,"SUNDAY, FEB 2, 2014",BTudela16,https://valueinvestorsclub.com/idea/HASBRO_INC/0116087915,"Hasbro (HAS): Long Hasbro, founded in 1923, has been a staple of children at play for generations and holds a plethora of iconic toy brands. However, there is pessimism surrounding the ... Read more",HASBRO INC HAS,49.12,"$6,374mn"
ERICKSON AIR-CRANE INC,"SATURDAY, FEB 1, 2014",MiamiJoe78,https://valueinvestorsclub.com/idea/ERICKSON_AIR-CRANE_INC/2674004472,"Erickson Aircrane (EAC) is a helicopter service provider for commercial and government customers based in Portland, Oregon.  It came across our desk initially because its minority shareholders seemed to be ... Read more",ERICKSON AIR-CRANE INC EAC,19.32,$267mn
Hiramatsu,"SATURDAY, FEB 1, 2014",kwee12,https://valueinvestorsclub.com/idea/Hiramatsu/9056778742,"Summary Hiramatsu operates high-end French and Italian restaurants primarily in the Tokyo metro area, and we believe that Hiramatsu is a best-in-class operator trading a discount to the peer group, with ... Read more",Hiramatsu 2764,727.00,$270mn
PENNYMAC FINANCIAL SERVICES,"SATURDAY, FEB 1, 2014",trev62,https://valueinvestorsclub.com/idea/PENNYMAC_FINANCIAL_SERVICES/6907838692,"PennyMac Financial Services (PFSI) is a a high-ROE, rapidly growing mortgage company focused on loan origination, loan servicing, and asset management.  Mortgage REITs have received a lot of attention on ... Read more",PENNYMAC FINANCIAL SERVICES PFSI,16.98,"$1,289mn"
Daelim Industrial,"SATURDAY, FEB 1, 2014",rh121,https://valueinvestorsclub.com/idea/Daelim_Industrial/6616313204,"Please see the following PDF for the complete writeup:   https://www.dropbox.com/s/7muigwutqtnp6gy/000215.pdf  I do not hold a position of employment, directorship, or consultancy with the issuer.Neither I nor others I advise hold a material ... Read more",Daelim Industrial 000215,"28,400.00","$2,989mn"
Emeco Holdings LTD,"FRIDAY, JAN 31, 2014",rickey824,https://valueinvestorsclub.com/idea/Emeco_Holdings_LTD/1730889034,"ALL AMOUNTS $AUDFISCAL YEAR ENDS JUNE INVESTMENT RECOMMENDATION****************************************************************************  Emeco Holdings (EHL AU, AUD$0.25, $150MM market cap) is a mining equipment rental business, headquartered in Australia.  EHL essentially provides swing capacity to ... Read more",Emeco Holdings LTD EHL,0.25,$150mn
ONVIA INC,"FRIDAY, JAN 31, 2014",andreas947,https://valueinvestorsclub.com/idea/ONVIA_INC/1827061706,Onvia Inc. (ONVI)   Summary   We focus on smaller companies with Ft. Knox balance sheets and large & sustainable free cash flow yields and we are typically seeking a mid-teens FCF yield ... Read more,ONVIA INC ONVI,5.00,$36mn
MONARCH CEMENT CO,"FRIDAY, JAN 31, 2014",blackstone,https://valueinvestorsclub.com/idea/MONARCH_CEMENT_CO/9521424105,"BACKGROUND: Both Snarfy and Broncos727 wrote up Ash Grove Cement in 2012; an idea that appealed to us on the merits of its valuation, humdrum business description, and trading illiquidity that ... Read more",MONARCH CEMENT CO MCEM,25.00,$100mn
MARTINREA INTL INC,"FRIDAY, JAN 31, 2014",ElmSt14,https://valueinvestorsclub.com/idea/MARTINREA_INTL_INC/3935909417,"Martinrea International (MRE CN) is a Canadian automotive parts manufacturer that has become significantly mispriced as the result of litigation from a rogue ex-shareholder and director of the company. However, ... Read more",MARTINREA INTL INC MRE CN,9.02,$761mn
