company_name,idea_date,author,link,excerpt,code,price,market_cap
Elanders AB,"THURSDAY, DEC 14, 2017",pt123,https://valueinvestorsclub.com/idea/Elanders_AB/6143924109,Opportunity   Elanders AB is an interesting long investment opportunity with ca. 100% upside in 5 years from the current share price of SEK 83.   The essence of the investment is based on an ... Read more,Elanders AB ELANB:SS,83.00,$345mn
ADVANCED EMISSIONS SOLUTIONS,"WEDNESDAY, DEC 13, 2017",TrustInGravity,https://valueinvestorsclub.com/idea/ADVANCED_EMISSIONS_SOLUTIONS/8000962238,"ADES is a trifecta (i) quick trade for +15%, (ii) invest for +50% over 12 months, and (iii) an option for +100% over 3 months.  This opportunity exists because of ... Read more",ADVANCED EMISSIONS SOLUTIONS ADES,10.00,$210mn
CAST SA,"WEDNESDAY, DEC 13, 2017",afgtt2008,https://valueinvestorsclub.com/idea/CAST_SA/7781389024,"CAST SA is an owner-operator led, albeit not controlled, software company with a strong value proposition and diversified customer base. Revenue growth has failed to materialize over the past 18-months ... Read more",CAST SA CAS,3.46,$51mn
The Habit Restaurants,"WEDNESDAY, DEC 13, 2017",kerrcap,https://valueinvestorsclub.com/idea/The_Habit_Restaurants/1411103687,"Introduction The Habit Restaurants (“Habit” or “HABT”), a growing burger chain with 195 locations, is an attractive long. Habit shares are down nearly 50% since May as the restaurant sector has ... Read more",The Habit Restaurants HABT,9.80,$254mn
Arrow Global Group,"TUESDAY, DEC 12, 2017",l2kcapital,https://valueinvestorsclub.com/idea/Arrow_Global_Group/5715286261,A quickly deteriorating business model with flawed economics and suspicious accountingPrices here are based on 391p at time of writing Introduction of opportunityDebt purchasers (“DP”) essentially play a game of arbitrage ... Read more,Arrow Global Group ARW.L,378.00,$905mn
CRIUS ENERGY TRUST,"TUESDAY, DEC 12, 2017",Element119,https://valueinvestorsclub.com/idea/CRIUS_ENERGY_TRUST/5175567007,Crius Energy Trust (“Crius” or the “Company”) is a beaten down stock with significant upside potential and “multiple ways to win” – either though low-risk operational execution or strategic initiatives. ... Read more,CRIUS ENERGY TRUST KWH.UN,8.62,$380mn
PERMA-PIPE INTERNATIONAL HOL,"MONDAY, DEC 11, 2017",Holland1945,https://valueinvestorsclub.com/idea/PERMA-PIPE_INTERNATIONAL_HOL/1356723622,"Until early 2017, Perma-Pipe International was known as MFRI Inc. There are no analysts covering the stock. The average daily dollar volume is microscopic. The company isn’t especially interesting or ... Read more",PERMA-PIPE INTERNATIONAL HOL PPIH,9.05,$70mn
IMPINJ INC,"SUNDAY, DEC 10, 2017",aaron16,https://valueinvestorsclub.com/idea/IMPINJ_INC/4822916942,"For investors willing to stretch their investment horizon 24+ months. I think Impinj ""PI"" provides an extremely compelling risk-reward. PI designs and sells an integrated circuit (""IC"") in a duopoly market that has grown at compounded annual rate ... Read more",IMPINJ INC PI,23.42,$491mn
POLARIS INFRASTRUCTURE INC,"THURSDAY, DEC 7, 2017",Element119,https://valueinvestorsclub.com/idea/POLARIS_INFRASTRUCTURE_INC/2622715770,"Polaris Infrastructure Inc. (the “Company,” “Polaris” or “PIF”) is an under-the-radar renewable power producer approaching an inflection point. The Company’s sole producing asset is a geothermal plant in Nicaragua that ... Read more",POLARIS INFRASTRUCTURE INC PIF.,17.15,$210mn
CAST SA,"THURSDAY, DEC 7, 2017",afgtt2008,https://valueinvestorsclub.com/idea/CAST_SA/7781389024,"CAST SA is an owner-operator led, albeit not controlled, software company with a strong value proposition and diversified customer base. Revenue growth has failed to materialize over the past 18-months ... Read more",CAST SA CAS,3.46,$51mn
The Habit Restaurants,"THURSDAY, DEC 7, 2017",kerrcap,https://valueinvestorsclub.com/idea/The_Habit_Restaurants/1411103687,"Introduction The Habit Restaurants (“Habit” or “HABT”), a growing burger chain with 195 locations, is an attractive long. Habit shares are down nearly 50% since May as the restaurant sector has ... Read more",The Habit Restaurants HABT,9.80,$254mn
Arrow Global Group,"TUESDAY, DEC 12, 2017",l2kcapital,https://valueinvestorsclub.com/idea/Arrow_Global_Group/5715286261,A quickly deteriorating business model with flawed economics and suspicious accountingPrices here are based on 391p at time of writing Introduction of opportunityDebt purchasers (“DP”) essentially play a game of arbitrage ... Read more,Arrow Global Group ARW.L,378.00,$905mn
CRIUS ENERGY TRUST,"TUESDAY, DEC 12, 2017",Element119,https://valueinvestorsclub.com/idea/CRIUS_ENERGY_TRUST/5175567007,Crius Energy Trust (“Crius” or the “Company”) is a beaten down stock with significant upside potential and “multiple ways to win” – either though low-risk operational execution or strategic initiatives. ... Read more,CRIUS ENERGY TRUST KWH.UN,8.62,$380mn
PERMA-PIPE INTERNATIONAL HOL,"MONDAY, DEC 11, 2017",Holland1945,https://valueinvestorsclub.com/idea/PERMA-PIPE_INTERNATIONAL_HOL/1356723622,"Until early 2017, Perma-Pipe International was known as MFRI Inc. There are no analysts covering the stock. The average daily dollar volume is microscopic. The company isn’t especially interesting or ... Read more",PERMA-PIPE INTERNATIONAL HOL PPIH,9.05,$70mn
IMPINJ INC,"SUNDAY, DEC 10, 2017",aaron16,https://valueinvestorsclub.com/idea/IMPINJ_INC/4822916942,"For investors willing to stretch their investment horizon 24+ months. I think Impinj ""PI"" provides an extremely compelling risk-reward. PI designs and sells an integrated circuit (""IC"") in a duopoly market that has grown at compounded annual rate ... Read more",IMPINJ INC PI,23.42,$491mn
POLARIS INFRASTRUCTURE INC,"THURSDAY, DEC 7, 2017",Element119,https://valueinvestorsclub.com/idea/POLARIS_INFRASTRUCTURE_INC/2622715770,"Polaris Infrastructure Inc. (the “Company,” “Polaris” or “PIF”) is an under-the-radar renewable power producer approaching an inflection point. The Company’s sole producing asset is a geothermal plant in Nicaragua that ... Read more",POLARIS INFRASTRUCTURE INC PIF.,17.15,$210mn
COHEN & STEERS INC,"THURSDAY, DEC 7, 2017",rii136,https://valueinvestorsclub.com/idea/COHEN_andamp%3B_STEERS_INC/4484462311,"SHORT– COHEN & STEERS INC. (CNS, $45.52) - 20 NOV 2017 CNS’ actively-managed funds are under pressure from ETFs and index funds, we believe 30% of its earnings is vanishing at ... Read more",COHEN & STEERS INC CNS,46.11,"$2,135mn"
MADALENA ENERGY INC,"TUESDAY, DEC 5, 2017",raf698,https://valueinvestorsclub.com/idea/MADALENA_ENERGY_INC/4359304186,Madalena Energy (tickers: MDLNF and MVN CN) is an Argentina energy E&P with attractive assets and partnerships in Argentine shale plus a new management focused on producing FCF from conventional ... Read more,MADALENA ENERGY INC MDLNF,0.21,$114mn
WILLIAMS PARTNERS LP,"TUESDAY, DEC 5, 2017",sancho,https://valueinvestorsclub.com/idea/WILLIAMS_PARTNERS_LP/9173031695,"We are proposing a simple sum-of-the-parts pair trade, involving WPZ (long) and WMB (short).   Williams is a natural gas focused midstream company. The company's main assets include: Transco (the largest and ... Read more",WILLIAMS PARTNERS LP WPZ,36.35,"$35,398mn"
WENDY'S CO,"MONDAY, DEC 4, 2017",ci230,https://valueinvestorsclub.com/idea/WENDYS_CO/3298616228,"Industry ·         Within restaurants (and consumer discretionary in general), Quick-Service burger stocks are best positioned for 2018. The three largest: MCD, BK (owned by QSR) and WEN are all among the top ... Read more",WENDY'S CO WEN,15.35,"$3,720mn"
PERSHING SQUARE HOLDINGS LTD,"MONDAY, DEC 4, 2017",byronval,https://valueinvestorsclub.com/idea/PERSHING_SQUARE_HOLDINGS_LTD/9673696614,Pershing Square Holdings (PSH) Investment Thesis: Pershing Square Holdings (PSH) is trading with 21.5% discount to NAV. We expect that gap to close to approximately 12-14% discount to NAV once it has ... Read more,PERSHING SQUARE HOLDINGS LTD PSH.LN,"1,029.00","$2,430mn"
Boohoo,"MONDAY, DEC 4, 2017",AlfredJones!,https://valueinvestorsclub.com/idea/Boohoo/1919010485,"I.                    SUMMARY Boohoo is a UK pure-play online retailer which focuses largely on women age 16-24. Since BOO’s founding, the Company has had a strong gross margin profile and positive working ... Read more",Boohoo AIM:BOO,1.84,"$2,114mn"
ARYZTA AG,"SUNDAY, DEC 3, 2017",carbone959,https://valueinvestorsclub.com/idea/ARYZTA_AG/2731380567,"Aryzta (SIX: ARYN) sells frozen baked goods. It is a classic turnaround situation: a roll-up gets into trouble; old management gets kicked out; new management will focus on improving operations, ... Read more",ARYZTA AG ARYN,33.55,"$3,141mn"
MOMO INC -ADR,"SUNDAY, DEC 3, 2017",bdon99,https://valueinvestorsclub.com/idea/MOMO_INC__-ADR/7381804861,"Momo is a Chinese social media company. Like many Chinese tech companies, it is led by the owner / founder, has a large addressable market, and is run in an ... Read more",MOMO INC -ADR MOMO,22.56,"$4,480mn"
David's Tea,"SATURDAY, DEC 2, 2017",nondescripthandle,https://valueinvestorsclub.com/idea/Davids_Tea/3000625148,"Business Description Due to the illiquidity of this name, this idea will probably not be suitable for institutional accounts. David’s Tea is one of the leading premium loose leaf tea retailers in ... Read more",David's Tea DTEA,4.10,$107mn
MADALENA ENERGY INC,"TUESDAY, DEC 5, 2017",raf698,https://valueinvestorsclub.com/idea/MADALENA_ENERGY_INC/4359304186,Madalena Energy (tickers: MDLNF and MVN CN) is an Argentina energy E&P with attractive assets and partnerships in Argentine shale plus a new management focused on producing FCF from conventional ... Read more,MADALENA ENERGY INC MDLNF,0.21,$114mn
WILLIAMS PARTNERS LP,"TUESDAY, DEC 5, 2017",sancho,https://valueinvestorsclub.com/idea/WILLIAMS_PARTNERS_LP/9173031695,"We are proposing a simple sum-of-the-parts pair trade, involving WPZ (long) and WMB (short).   Williams is a natural gas focused midstream company. The company's main assets include: Transco (the largest and ... Read more",WILLIAMS PARTNERS LP WPZ,36.35,"$35,398mn"
WENDY'S CO,"MONDAY, DEC 4, 2017",ci230,https://valueinvestorsclub.com/idea/WENDYS_CO/3298616228,"Industry ·         Within restaurants (and consumer discretionary in general), Quick-Service burger stocks are best positioned for 2018. The three largest: MCD, BK (owned by QSR) and WEN are all among the top ... Read more",WENDY'S CO WEN,15.35,"$3,720mn"
PERSHING SQUARE HOLDINGS LTD,"MONDAY, DEC 4, 2017",byronval,https://valueinvestorsclub.com/idea/PERSHING_SQUARE_HOLDINGS_LTD/9673696614,Pershing Square Holdings (PSH) Investment Thesis: Pershing Square Holdings (PSH) is trading with 21.5% discount to NAV. We expect that gap to close to approximately 12-14% discount to NAV once it has ... Read more,PERSHING SQUARE HOLDINGS LTD PSH.LN,"1,029.00","$2,430mn"
Boohoo,"MONDAY, DEC 4, 2017",AlfredJones!,https://valueinvestorsclub.com/idea/Boohoo/1919010485,"I.                    SUMMARY Boohoo is a UK pure-play online retailer which focuses largely on women age 16-24. Since BOO’s founding, the Company has had a strong gross margin profile and positive working ... Read more",Boohoo AIM:BOO,1.84,"$2,114mn"
ARYZTA AG,"SUNDAY, DEC 3, 2017",carbone959,https://valueinvestorsclub.com/idea/ARYZTA_AG/2731380567,"Aryzta (SIX: ARYN) sells frozen baked goods. It is a classic turnaround situation: a roll-up gets into trouble; old management gets kicked out; new management will focus on improving operations, ... Read more",ARYZTA AG ARYN,33.55,"$3,141mn"
MOMO INC -ADR,"SUNDAY, DEC 3, 2017",bdon99,https://valueinvestorsclub.com/idea/MOMO_INC__-ADR/7381804861,"Momo is a Chinese social media company. Like many Chinese tech companies, it is led by the owner / founder, has a large addressable market, and is run in an ... Read more",MOMO INC -ADR MOMO,22.56,"$4,480mn"
David's Tea,"SATURDAY, DEC 2, 2017",nondescripthandle,https://valueinvestorsclub.com/idea/Davids_Tea/3000625148,"Business Description Due to the illiquidity of this name, this idea will probably not be suitable for institutional accounts. David’s Tea is one of the leading premium loose leaf tea retailers in ... Read more",David's Tea DTEA,4.10,$107mn
NEW YORK REIT INC,"SATURDAY, DEC 2, 2017",chuplin1065,https://valueinvestorsclub.com/idea/NEW_YORK_REIT_INC/4837117176,"We expect the low ratings and down votes. We’ll be the first to admit we fell in love with the story and cast of characters. It had a villian, a ... Read more",NEW YORK REIT INC NYRT,5.00,$840mn
Restaurant Brands International,"THURSDAY, NOV 30, 2017",VIC_Member2015,https://valueinvestorsclub.com/idea/Restaurant_Brands_International/4921102289,"Restaurant Brands International (NYSE:QSR) Restaurant Brands International (“QSR”) is the holding company for the Burger King (“BK”), Tim Hortons (“TH”) and Popeyes brands. QSR operates a highly visible, asset light franchisor ... Read more",Restaurant Brands International QSR,62.69,"$30,300mn"
LUXOFT HOLDING INC,"THURSDAY, NOV 30, 2017",kerrcap,https://valueinvestorsclub.com/idea/LUXOFT_HOLDING_INC/0201761322,"Introduction   “We were impressed with the quality of Luxoft’s people. More than 70% of Luxoft employees are senior specialists with over 7 years of experience, and over 80% are educated to ... Read more",LUXOFT HOLDING INC LXFT,52.90,"$1,771mn"
Philip Morris,"WEDNESDAY, NOV 29, 2017",scrooge833,https://valueinvestorsclub.com/idea/Philip_Morris/2416717561,An investor with a ten year horizon should consider taking advantage of the recent sell-off in Altria to establish a position in this company.   He/She will then conservatively sleep well and ... Read more,Philip Morris MO,67.37,"$128,676mn"
Nordson,"WEDNESDAY, NOV 29, 2017",Jumbos02,https://valueinvestorsclub.com/idea/Nordson/9455815045,"Executive Summary:  Nordson is a leading provider of dispensing equipment and fluid management technology, with dominant market positions in its legacy businesses that afford it significant pricing power and healthy ... Read more",Nordson NDSN,125.66,"$7,442mn"
LILIS ENERGY INC,"WEDNESDAY, NOV 29, 2017",valueshort,https://valueinvestorsclub.com/idea/LILIS_ENERGY_INC/7586293658,"Lilis Energy (LLEX) checks so many boxes as an attractive short candidate that the question isn't if it will go down, possibly to 0, but when. These boxes include: 1) Founding ... Read more",LILIS ENERGY INC LLEX,4.86,$300mn
IRADIMED CORP,"WEDNESDAY, NOV 29, 2017",ahnuld,https://valueinvestorsclub.com/idea/IRADIMED_CORP/5488762136,Opportunity:   Iradimed (IRMD) is a niche microcap medical device company that recently got approval for its second product where it is set to take significant market share and expand the addressable market. ... Read more,IRADIMED CORP IRMD,13.35,$140mn
NATIONAL PRESTO INDS INC,"TUESDAY, NOV 28, 2017",alcideholder,https://valueinvestorsclub.com/idea/NATIONAL_PRESTO_INDS_INC/9433613867,"National Presto (NPK) Summary: NPK’s monopoly-like position has been eliminated by the US government, shifting its reliance on NPK as a sole-source for 40mm ammunition to using multiple manufacturers. A recently completed ... Read more",NATIONAL PRESTO INDS INC NPK,118.10,$823mn
SOCIAL CAPITAL HDA HDG,"TUESDAY, NOV 28, 2017",nathanj,https://valueinvestorsclub.com/idea/SOCIAL_CAPITAL_HDA_HDG/3945785858,"Social Capital Hedosophia (IPOA) offers an “almost free” call option to invest alongside its CEO Chamath Palihapitiya, one of the most successful tech investors in recent history. IPOA is a ... Read more",SOCIAL CAPITAL HDA HDG IPOA,10.00,$690mn
Ambase C,"MONDAY, NOV 27, 2017",AltaRocks,https://valueinvestorsclub.com/idea/Ambase_C/0113763090,"In January 2017, we published a VIC write up which presented Ambase as a “little-known opportunity to invest at a discount alongside well-respected developers in a high-profile, luxury high-rise residential ... Read more",Ambase C ABCP,0.23,$9mn
NEW YORK REIT INC,"MONDAY, NOV 27, 2017",chuplin1065,https://valueinvestorsclub.com/idea/NEW_YORK_REIT_INC/4837117176,"We expect the low ratings and down votes. We’ll be the first to admit we fell in love with the story and cast of characters. It had a villian, a ... Read more",NEW YORK REIT INC NYRT,5.00,$840mn
Restaurant Brands International,"THURSDAY, NOV 30, 2017",VIC_Member2015,https://valueinvestorsclub.com/idea/Restaurant_Brands_International/4921102289,"Restaurant Brands International (NYSE:QSR) Restaurant Brands International (“QSR”) is the holding company for the Burger King (“BK”), Tim Hortons (“TH”) and Popeyes brands. QSR operates a highly visible, asset light franchisor ... Read more",Restaurant Brands International QSR,62.69,"$30,300mn"
LUXOFT HOLDING INC,"THURSDAY, NOV 30, 2017",kerrcap,https://valueinvestorsclub.com/idea/LUXOFT_HOLDING_INC/0201761322,"Introduction   “We were impressed with the quality of Luxoft’s people. More than 70% of Luxoft employees are senior specialists with over 7 years of experience, and over 80% are educated to ... Read more",LUXOFT HOLDING INC LXFT,52.90,"$1,771mn"
Philip Morris,"WEDNESDAY, NOV 29, 2017",scrooge833,https://valueinvestorsclub.com/idea/Philip_Morris/2416717561,An investor with a ten year horizon should consider taking advantage of the recent sell-off in Altria to establish a position in this company.   He/She will then conservatively sleep well and ... Read more,Philip Morris MO,67.37,"$128,676mn"
Nordson,"WEDNESDAY, NOV 29, 2017",Jumbos02,https://valueinvestorsclub.com/idea/Nordson/9455815045,"Executive Summary:  Nordson is a leading provider of dispensing equipment and fluid management technology, with dominant market positions in its legacy businesses that afford it significant pricing power and healthy ... Read more",Nordson NDSN,125.66,"$7,442mn"
LILIS ENERGY INC,"WEDNESDAY, NOV 29, 2017",valueshort,https://valueinvestorsclub.com/idea/LILIS_ENERGY_INC/7586293658,"Lilis Energy (LLEX) checks so many boxes as an attractive short candidate that the question isn't if it will go down, possibly to 0, but when. These boxes include: 1) Founding ... Read more",LILIS ENERGY INC LLEX,4.86,$300mn
IRADIMED CORP,"WEDNESDAY, NOV 29, 2017",ahnuld,https://valueinvestorsclub.com/idea/IRADIMED_CORP/5488762136,Opportunity:   Iradimed (IRMD) is a niche microcap medical device company that recently got approval for its second product where it is set to take significant market share and expand the addressable market. ... Read more,IRADIMED CORP IRMD,13.35,$140mn
NATIONAL PRESTO INDS INC,"TUESDAY, NOV 28, 2017",alcideholder,https://valueinvestorsclub.com/idea/NATIONAL_PRESTO_INDS_INC/9433613867,"National Presto (NPK) Summary: NPK’s monopoly-like position has been eliminated by the US government, shifting its reliance on NPK as a sole-source for 40mm ammunition to using multiple manufacturers. A recently completed ... Read more",NATIONAL PRESTO INDS INC NPK,118.10,$823mn
SOCIAL CAPITAL HDA HDG,"TUESDAY, NOV 28, 2017",nathanj,https://valueinvestorsclub.com/idea/SOCIAL_CAPITAL_HDA_HDG/3945785858,"Social Capital Hedosophia (IPOA) offers an “almost free” call option to invest alongside its CEO Chamath Palihapitiya, one of the most successful tech investors in recent history. IPOA is a ... Read more",SOCIAL CAPITAL HDA HDG IPOA,10.00,$690mn
Ambase C,"MONDAY, NOV 27, 2017",AltaRocks,https://valueinvestorsclub.com/idea/Ambase_C/0113763090,"In January 2017, we published a VIC write up which presented Ambase as a “little-known opportunity to invest at a discount alongside well-respected developers in a high-profile, luxury high-rise residential ... Read more",Ambase C ABCP,0.23,$9mn
VISTA OUTDOOR INC,"THURSDAY, NOV 23, 2017",jared890,https://valueinvestorsclub.com/idea/VISTA_OUTDOOR_INC/0362323400,"Overview Vista Outdoor is both a CEO change story and a cycle-recovery story.  This ammunition and outdoor products company was written up on VIC back in February.  Since then, the stock ... Read more",VISTA OUTDOOR INC VSTO,14.00,$813mn
"The Andersons, Inc.","THURSDAY, NOV 23, 2017",leob710,https://valueinvestorsclub.com/idea/The_Andersons_Inc./8195173865,"Executive Summary Headquartered in Maumee, Ohio, The Andersons, Inc. (“ANDE”) is an agriculture company primarily engaged in the businesses of operating grain elevators, producing ethanol, plant nutrients (fertilizers), and leasing, buying/selling, ... Read more","The Andersons, Inc. ANDE",30.05,$870mn
BRUNSWICK CORP,"WEDNESDAY, NOV 22, 2017",85bears,https://valueinvestorsclub.com/idea/BRUNSWICK_CORP/2475308377,"(apologize in advance for the format below - tried my best)   I. Summary Brunswick Corporation (“BC”, “Brunswick”, or the “Company”) is a leading global designer and manufacturer of recreation products including marine ... Read more",BRUNSWICK CORP BC,52.50,"$4,600mn"
DISCOVERY COMMUNICATIONS INC,"TUESDAY, NOV 21, 2017",venetian,https://valueinvestorsclub.com/idea/DISCOVERY_COMMUNICATIONS_INC/0393599737,"This idea is meant to be a follow-on to Novana’s previous June 21st, 2017 VIC idea on VIAB following the Discovery Communications (DISCA) market sell-off following the signed acquisition of ... Read more",DISCOVERY COMMUNICATIONS INC DISCA,17.25,"$6,538mn"
CORTS TR J C PENNEY,"TUESDAY, NOV 21, 2017",bowd57,https://valueinvestorsclub.com/idea/CORTS_TR_J_C_PENNEY/2632985368,"Hi, guys –       OVERVIEW       KTP is a contrarian securtity with speculative appeal that is mispriced and if you squint hard enough it's maybe got some … “margin of safety” is too strong, ... Read more",CORTS TR J C PENNEY KTP,12.55,$150mn
NIKE INC,"MONDAY, NOV 20, 2017",ima,https://valueinvestorsclub.com/idea/NIKE_INC/9823329967,"COMPANY DESCRIPTION: NKE is the leading athletic footwear and apparel brand in the world. Footwear is 65% of sales, and apparel is 35% of sales. North America represents approximately 47% ... Read more",NIKE INC NKE,59.00,"$96,500mn"
CANADIAN TIRE CORP -CL A,"SUNDAY, NOV 19, 2017",chatham123,https://valueinvestorsclub.com/idea/CANADIAN_TIRE_CORP__-CL_A/7648904509,"Canadian Tire is a short. Canadian retail faces the same challenges as US retail, though they are only a few years behind. With the name trading at a 3% FCF ... Read more",CANADIAN TIRE CORP -CL A CTC.A,161.37,"$11,014mn"
General Motors,"SUNDAY, NOV 19, 2017",hbomb5,https://valueinvestorsclub.com/idea/General_Motors/7142952287,"GM INVESTMENT SUMMARY   General Motors has received considerable attention this year and is up 20% ytd, but the stock is still significantly undervalued. I will layout a roadmap for GM’s stock ... Read more",General Motors GM,43.88,"$64,591mn"
OCERA THERAPEUTICS INC,"SUNDAY, NOV 19, 2017",huqiu,https://valueinvestorsclub.com/idea/OCERA_THERAPEUTICS_INC/6861128382,Summary Ocera Therapeutics (“OCRX”) is an interesting event-driven situation where one can create a cheap option to make 1.3-4.0x one’s money on the contingent value right (“CVR”) in the next 12-24 ... Read more,OCERA THERAPEUTICS INC OCRX,1.77,$47mn
VISTA OUTDOOR INC,"THURSDAY, NOV 23, 2017",jared890,https://valueinvestorsclub.com/idea/VISTA_OUTDOOR_INC/0362323400,"Overview Vista Outdoor is both a CEO change story and a cycle-recovery story.  This ammunition and outdoor products company was written up on VIC back in February.  Since then, the stock ... Read more",VISTA OUTDOOR INC VSTO,14.00,$813mn
"The Andersons, Inc.","THURSDAY, NOV 23, 2017",leob710,https://valueinvestorsclub.com/idea/The_Andersons_Inc./8195173865,"Executive Summary Headquartered in Maumee, Ohio, The Andersons, Inc. (“ANDE”) is an agriculture company primarily engaged in the businesses of operating grain elevators, producing ethanol, plant nutrients (fertilizers), and leasing, buying/selling, ... Read more","The Andersons, Inc. ANDE",30.05,$870mn
BRUNSWICK CORP,"WEDNESDAY, NOV 22, 2017",85bears,https://valueinvestorsclub.com/idea/BRUNSWICK_CORP/2475308377,"(apologize in advance for the format below - tried my best)   I. Summary Brunswick Corporation (“BC”, “Brunswick”, or the “Company”) is a leading global designer and manufacturer of recreation products including marine ... Read more",BRUNSWICK CORP BC,52.50,"$4,600mn"
DISCOVERY COMMUNICATIONS INC,"TUESDAY, NOV 21, 2017",venetian,https://valueinvestorsclub.com/idea/DISCOVERY_COMMUNICATIONS_INC/0393599737,"This idea is meant to be a follow-on to Novana’s previous June 21st, 2017 VIC idea on VIAB following the Discovery Communications (DISCA) market sell-off following the signed acquisition of ... Read more",DISCOVERY COMMUNICATIONS INC DISCA,17.25,"$6,538mn"
CORTS TR J C PENNEY,"TUESDAY, NOV 21, 2017",bowd57,https://valueinvestorsclub.com/idea/CORTS_TR_J_C_PENNEY/2632985368,"Hi, guys –       OVERVIEW       KTP is a contrarian securtity with speculative appeal that is mispriced and if you squint hard enough it's maybe got some … “margin of safety” is too strong, ... Read more",CORTS TR J C PENNEY KTP,12.55,$150mn
NIKE INC,"MONDAY, NOV 20, 2017",ima,https://valueinvestorsclub.com/idea/NIKE_INC/9823329967,"COMPANY DESCRIPTION: NKE is the leading athletic footwear and apparel brand in the world. Footwear is 65% of sales, and apparel is 35% of sales. North America represents approximately 47% ... Read more",NIKE INC NKE,59.00,"$96,500mn"
